financial_year,year,bank_name,total_assets,investments,advances,fixed_assets,other_assets,capital,reserves_surplus,deposits,borrowings,other_liabilities_provisions,total_liabilities,interest_earned,other_income,total_income,interest_expended,operating_expenses,net_interest_income,provisions_contingencies,operating_profit,net_profit,crar,tier1_crar,tier2_crar,gross_npa_opening,gross_npa_additions,gross_npa_reduction,gross_npa_writeoff,gross_npa_closing,net_npa_opening,net_npa_closing,return_on_assets,return_on_equity,net_npa_to_net_advances,asset_growth,deposit_growth,advance_growth,calculated_nii,nii_difference,profit_growth
FY2023-24,2024,AIRTEL PAYMENTS BANK LIMITED,4697.600684,2623.762922,,624.513636,383.855344,2413.1582,-1909.379016,2630.536068,,,4697.600684,165.108042,1670.688587,1835.796629,43.909157,1744.81321,121.198885,12.566601,47.074262,34.507661,38.31,38.31,,,,,,,,,0.99,7.680134,,55.21799785729411,56.67784320375322,,121.19888500000002,-1.4210854715202004e-14,59.47000150238224
FY2024-25,2025,AIRTEL PAYMENTS BANK LIMITED,7511.082794,3293.993756,,739.124946,650.943807,2465.007036,-1820.331111,3418.064861,129.847904,,7511.082794,252.708901,2455.924101,2708.633002,61.836107,2604.225195,190.872794,-20.029171,42.5717,62.600871,37.95,37.95,,,,,,,,,1.2,10.901753,,59.89189586894228,29.937958372065165,,190.872794,0.0,81.41151612681021
FY2015-16,2016,ALLAHABAD BANK,239825.3646,57154.9017,152372.0514,3255.8331,4686.4249,613.8042,13450.2324,200644.3979,18707.0405,6409.8896,239825.3646,18884.9455,1910.1265,20795.072,12986.4529,3674.7163,5898.4926,4877.2111,4133.9028,-743.3083,11.02,8.41,2.61,8357.97,12924.81,2242.96,3655.25,15384.57,5978.89,10292.51,-0.33,-5.56643143083773,6.76,,,,5898.492600000001,-1.8189894035458565e-12,
FY2016-17,2017,ALLAHABAD BANK,237037.8832,55136.0686,150752.6993,3191.8503,5901.9481,743.6899,13552.7105,201870.2157,14670.3247,6200.9424,237037.8832,17660.3936,2644.3311,20304.7247,12373.3636,4064.592,5287.03,4180.2851,3866.7691,-313.516,11.45,8.49,2.96,15384.57,11417.0,3671.69,2442.05,20687.83,10292.51,13433.51,-0.13,-2.21093913327217,8.92,-1.1622963253487328,0.6109404562647747,-1.062761894403419,5287.029999999999,9.094947017729282e-13,-57.82153919174588
FY2017-18,2018,ALLAHABAD BANK,252714.3103,67714.0245,152060.7442,3132.0863,8385.5667,844.0443,9424.3472,213603.8278,21400.5155,7441.5755,252714.3103,16358.4926,2692.5602,19051.0528,11626.1027,3986.6261,4732.3899,8112.6919,3438.324,-4674.3679,8.69,6.69,2.0,20687.83,12903.28,3379.08,3649.24,26562.79,13433.51,12229.13,-1.96,-38.0574597906527,8.04,6.613469074381273,5.812453342516544,0.8676759395179756,4732.3899,0.0,1390.9503502213604
FY2018-19,2019,ALLAHABAD BANK,248575.7709,79557.9133,142212.163,3538.2578,9033.921,2096.8358,7033.4819,214334.0675,12488.941,12622.4447,248575.7709,16864.2937,1700.2043,18564.498,11353.4834,4444.001,5510.8103,11100.9748,2767.0136,-8333.9612,12.51,9.68,2.83,26562.79,10726.32,4301.34,4282.99,28704.78,12229.13,7419.31,-3.48,-85.922842742547,5.22,-1.6376355557732758,0.3418663923399956,-6.476741417920795,5510.810299999999,9.094947017729282e-13,78.29065615481399
FY2019-20,2020,ALLAHABAD BANK,258002.1179,80666.5774,142964.7811,3510.4248,9109.9057,4527.4815,8135.2924,228608.5075,9102.5665,,258002.1179,16925.0161,2456.6878,19381.7039,11474.6162,4818.5832,5450.3999,8484.5906,3088.5045,-5396.0861,12.01,8.01,4.0,28704.78,13246.13,5101.06,9002.98,27846.87,7419.31,8088.09,-2.22,-49.5210702459489,5.66,3.7921423177611935,6.6599025374256104,0.5292220328580344,5450.3999,0.0,-35.251845184976375
FY2015-16,2016,AMERICAN EXPRESS BANKING CORP.,4621.8767,881.0611,2989.4061,29.4879,545.1583,996.9644,7.681,1078.8732,1333.5406,1204.8175,4621.8767,203.9507,844.9252,1048.8759,147.8365,828.4833,56.1142,97.6833,72.5561,-25.1272,21.31,11.98,9.33,20.2268,172.0644,61.0908,81.5678,49.6326,15.1701,24.7821,-0.64,-2.50110138363247,0.83,,,,56.11420000000001,-1.4210854715202004e-14,
FY2016-17,2017,AMERICAN EXPRESS BANKING CORP.,6126.291,1627.784,3563.9568,32.328,667.9369,1147.4884,19.9384,1429.1922,964.3771,2565.2949,6126.291,272.797,1081.6357,1354.4327,110.0428,1058.4103,162.7542,136.95,185.9796,49.0296,20.73,13.02,7.71,49.6326,209.5655,105.2388,106.45,47.5093,24.7821,19.9105,0.96,4.51454606343196,0.56,32.54985793974123,32.470822335748075,19.219560032342198,162.75420000000003,-2.842170943040401e-14,-295.1256009424051
FY2017-18,2018,AMERICAN EXPRESS BANKING CORP.,7725.2608,1863.8151,5098.1045,28.0102,446.4005,1423.8924,40.241,1610.5638,1703.9801,2946.5835,7725.2608,363.3676,1237.4506,1600.8182,125.8108,1225.6795,237.5568,168.1175,249.3279,81.2104,17.94,12.59,5.35,47.5093,265.4029,126.8467,101.2165,84.849,19.9105,38.5472,1.27,6.17203436957285,0.76,26.10012811993423,12.690497471228856,43.04619236686595,237.55679999999998,2.842170943040401e-14,65.63545286928714
FY2018-19,2019,AMERICAN EXPRESS BANKING CORP.,8549.6745,2341.1094,5339.8404,31.6448,499.0072,1760.3299,47.3155,2135.5294,1253.429,3353.0707,8549.6745,518.7308,1421.6713,1940.4021,146.1081,1512.5894,372.6227,253.4761,281.7046,28.2285,24.36,14.92,9.44,84.849,707.375,426.1694,166.4665,199.5881,38.5472,108.2073,0.36,1.72557509083438,2.03,10.671661725646842,32.59514463196056,4.741681932961539,372.6227,0.0,-65.24028942105937
FY2019-20,2020,AMERICAN EXPRESS BANKING CORP.,8247.8773,3340.9924,3987.3855,30.7012,537.8054,1760.3299,48.7531,2128.9851,2059.6093,,8247.8773,687.2936,1463.6807,2150.9743,150.1487,1791.7836,537.1449,203.4118,209.042,5.6302,40.44,17.56,22.88,199.5881,1252.4459,1191.7138,180.2033,80.1169,108.2073,36.8585,0.07,0.311342151,0.92,-3.529926197775124,-0.30644860239339433,-25.327627769549068,537.1449,0.0,-80.05490904582248
FY2020-21,2021,AMERICAN EXPRESS BANKING CORP.,7603.9168,3260.7358,3137.5953,25.0371,823.1709,2215.3299,48.7531,2538.7116,1568.5034,,7603.9168,601.6293,722.774,1324.4033,103.2258,1257.6263,498.4035,260.2461,-36.4488,-296.6949,37.54,21.42,16.12,80.1169,404.9789,104.7772,127.0084,253.3102,36.8585,40.7576,-4.18,-14.568,1.3,-7.80759068760638,19.24515582565609,-21.311964945451102,498.40349999999995,5.684341886080802e-14,-5369.704450996413
FY2021-22,2022,AMERICAN EXPRESS BANKING CORP.,8677.5974,3097.4058,3670.9513,557.5702,1106.3689,2215.3299,48.7531,2818.068,2104.6741,,8677.5974,529.571,936.6073,1466.1783,106.9998,1257.6525,422.5712,106.4646,101.526,-4.9386,28.73,18.24,10.49,253.3102,686.6966,497.5001,215.1535,227.3532,40.7576,20.492,-0.07,-0.218128,0.56,14.120099262527441,11.003865110160604,16.998878089854365,422.57120000000003,-5.684341886080802e-14,-98.33546178245733
FY2022-23,2023,AMERICAN EXPRESS BANKING CORP.,9849.6765,4095.9055,3970.7783,492.1232,973.988,2215.3299,66.4512,3214.2161,2581.3928,,9849.6765,602.6518,1259.3861,1862.0379,130.4388,1617.1872,472.213,43.6196,114.4119,70.7923,32.34,18.79,13.55,227.3532,1986.104,1847.6865,77.6535,288.1172,20.492,41.4015,0.77,3.114581,1.04,13.506954125343483,14.057435803536311,8.167555913912562,472.21299999999997,5.684341886080802e-14,-1533.4487506580813
FY2023-24,2024,AMERICAN EXPRESS BANKING CORP.,10643.4778,4609.9075,4718.7231,388.1511,557.4697,2215.3299,-386.9221,4116.5047,2682.1128,,10643.4778,665.8335,1541.6022,2207.4357,208.7434,1909.3658,457.0901,23.1034,89.3265,66.2231,23.48,16.28,7.2,288.1172,1870.4554,1798.1033,98.5899,261.8794,41.4015,38.1327,0.65,3.222387,0.81,8.059161130824965,28.07180886188705,18.836226641008903,457.09009999999995,5.684341886080802e-14,-6.454374275168339
FY2024-25,2025,AMERICAN EXPRESS BANKING CORP.,12243.7562,4660.5838,6194.7637,316.6378,692.058,2215.3299,-373.5294,5157.5965,2765.7841,,12243.7562,752.9684,1917.0689,2670.0373,298.777,2232.6205,454.1914,125.2471,138.6398,13.3927,17.2,13.05,4.15,261.8794,2006.3593,1835.8914,137.0689,295.2784,38.1327,37.8159,0.12,0.729806,0.61,15.035296075874749,25.290674391796486,31.28050891564289,454.1914,0.0,-79.77639222567352
FY2015-16,2016,ANDHRA BANK,199961.7586,53864.1938,130787.8926,1368.4445,4968.8759,681.1635,10313.2258,174302.4023,9715.592,4949.375,199961.7586,17634.6752,1564.4745,19199.1497,12313.7109,2925.4358,5320.9643,3420.1663,3960.003,539.8367,11.58,8.81,2.77,6876.54,6332.04,950.63,814.32,11443.63,3688.63,6035.65,0.28,5.12702521476328,4.61,,,,5320.9643000000015,-1.8189894035458565e-12,
FY2016-17,2017,ANDHRA BANK,223099.3786,59697.4889,136846.3336,1530.7038,7289.7091,681.1635,10685.4961,195441.2451,8855.1767,7436.2972,223099.3786,18027.4181,2308.3054,20335.7235,12495.7744,3451.9935,5531.6437,4213.6235,4387.9556,174.3321,12.38,9.17,3.21,11443.63,9521.47,1672.01,1623.11,17669.98,6035.65,10354.81,0.08,1.55924796533136,7.57,11.571022460491598,12.127682992926836,4.632264408854003,5531.643699999999,9.094947017729282e-13,-67.70651198779186
FY2017-18,2018,ANDHRA BANK,242171.3712,64770.2981,149064.125,1473.2958,10919.3446,1198.8318,9619.4549,208070.4786,18269.0486,5013.5573,242171.3712,17974.538,2372.0618,20346.5998,11639.7796,3345.7885,6334.7584,8773.5593,5361.0317,-3412.5276,11.0,7.44,3.56,17669.98,13864.23,1744.25,1665.6,28124.36,10354.81,12636.87,-1.46,-30.76435303339,8.48,8.548653393694394,6.461908024346696,8.928110149967505,6334.758400000001,-9.094947017729282e-13,-2057.486659083439
FY2018-19,2019,ANDHRA BANK,249311.4154,62953.0914,158822.6873,1558.0848,10943.713,2884.4878,10280.6374,219821.0,10278.109,6047.1812,249311.4154,18932.2205,2045.0403,20977.2608,12223.9915,3730.1489,6708.229,7809.2476,5023.1204,-2786.1272,13.68,10.38,3.3,28124.36,5274.94,2145.15,2280.18,28973.97,12636.87,9091.4,-1.09,-23.2337851813319,5.73,2.948343631462258,5.647375581131575,6.546553236736208,6708.228999999999,9.094947017729282e-13,-18.355907216691815
FY2019-20,2020,ANDHRA BANK,243871.0617,61331.166,157742.3333,1482.5126,12202.9954,3095.5373,9132.3638,212609.3768,14129.5804,,243871.0617,19784.1791,2742.942,22527.1211,12795.4885,4639.0376,6988.6906,6416.7271,5092.595,-1324.1321,11.12,8.16,2.96,28973.97,5899.84,1970.69,4194.58,28708.54,9091.4,7764.52,-0.5,-10.4291003707581,4.92,-2.182151864675508,-3.2806798258583125,-0.6802264955757309,6988.690600000002,-1.8189894035458565e-12,-52.4740973778943
FY2017-18,2018,AU SMALL FINANCE BANK LIMITED,18832.7727,3050.5944,13312.1307,386.0867,322.7422,285.7036,1995.4791,7923.3193,7638.8647,989.406,18832.7727,1767.1899,388.0601,2155.25,826.7285,752.6092,940.4614,283.8727,575.9123,292.0396,19.31,18.42,0.89,124.51,206.25,55.09,5.93,269.74,80.46,169.34,2.04,12.8021135702984,1.27,,,,940.4614,0.0,
FY2018-19,2019,AU SMALL FINANCE BANK LIMITED,32622.7965,7161.6711,22818.7308,447.03,455.1712,292.3575,2870.5334,19422.4356,8613.3587,1424.1113,32622.7965,2949.1288,461.911,3411.0398,1606.5264,1082.6075,1342.6024,340.0991,721.9059,381.8068,19.31,15.96,3.35,269.74,447.73,227.7,19.63,470.14,169.34,294.5,1.48,14.0265113241673,1.29,73.22354503859114,145.1300378617835,71.41306162205876,1342.6024,0.0,30.73802319959349
FY2019-20,2020,AU SMALL FINANCE BANK LIMITED,42143.070952,10668.215338,26992.415413,447.998338,664.763289,304.123327,4072.687824,26163.928458,10335.32358,,42143.070952,4285.884292,706.091972,4991.976264,2376.944011,1417.85853,1908.940281,522.389268,1197.173723,674.784455,21.99,18.36,3.63,470.14366,617.025305,582.255156,47.128943,457.784866,294.498046,217.302322,1.81,17.89949922,0.81,29.182888879560043,34.70982217080951,18.2906080516976,1908.9402809999997,2.2737367544323206e-13,76.7345303960013
FY2020-21,2021,AU SMALL FINANCE BANK LIMITED,51591.305915,10815.413904,34608.914208,482.368494,903.273748,312.21339,5963.002447,35979.314198,7029.695679,,51591.305915,4950.051549,1420.932649,6370.984198,2584.609747,1658.425222,2365.441802,957.264583,2127.949229,1170.684646,23.37,21.53,1.84,457.784866,1285.777236,126.117012,114.614888,1502.830202,217.302322,755.454682,2.5,21.981,2.18,22.419426846613334,37.51495405499323,28.217181302462357,2365.441802,0.0,73.49016227707854
FY2021-22,2022,AU SMALL FINANCE BANK LIMITED,69077.800442,15306.504313,46095.256419,622.571224,1124.953371,314.900031,7199.113988,52584.620544,5990.778653,,69077.800445,5921.73069,993.694162,6915.424852,2687.60584,2412.774233,3234.12485,685.210544,1815.044779,1129.834235,20.99,19.69,1.3,1502.829069,1442.124545,1832.959165,187.616276,924.378173,755.454682,271.845456,1.87,16.387199,0.5,33.89426613044093,46.15237037209299,33.188970165220844,3234.12485,0.0,-3.4894462090690026
FY2022-23,2023,AU SMALL FINANCE BANK LIMITED,90216.11845,20072.00988,58421.54406,740.139275,1557.252926,666.745055,10310.59868,69364.98644,6298.652106,,90216.11845,8205.408316,1034.464265,9239.872581,3780.126365,3440.270043,4425.281951,591.550911,2019.476173,1427.925262,23.59,21.78,1.81,924.378173,1239.882053,992.454945,190.492652,981.312629,271.845456,286.158756,1.79,15.444245,0.42,30.600739850928548,31.911166653677924,26.74090264073079,4425.281950999999,9.094947017729282e-13,26.383607237746688
FY2023-24,2024,AU SMALL FINANCE BANK LIMITED,109425.6699,27133.36527,73162.65476,851.592417,1901.723151,669.162451,11890.36904,87182.11636,5479.372156,,109425.6699,10554.71304,1697.142032,12251.85507,5397.629332,4464.80358,5157.083705,854.703172,2389.422157,1534.718985,20.06,18.8,1.26,981.312629,1698.192858,1037.109591,404.995533,1237.400363,286.158756,441.986969,1.54,13.040975,0.55,21.29281527518434,25.68605694951247,25.232319578648266,5157.083708,-3.000000106112566e-06,7.478943460277554
FY2024-25,2025,AU SMALL FINANCE BANK LIMITED,157845.6662,37847.52354,107092.4845,912.465098,2526.831293,744.530531,16421.75126,124268.5438,11659.90244,,157845.6662,16063.73086,2526.311082,18590.04194,8052.149415,5957.215308,8011.58144,2474.750616,4580.677214,2105.926598,20.06,18.14,1.92,1237.400363,3995.604386,1584.800304,1171.174591,2477.029854,441.986969,832.340435,1.53,14.169009,0.74,44.24921167423441,42.539030925631,46.37588651109248,8011.581445,-4.999999873689376e-06,37.21903609604465
FY2015-16,2016,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,5707.0087,1778.864,2530.6778,81.2366,1077.9598,1131.1074,146.9034,2193.5949,970.505,1264.898,5707.0087,290.7034,139.3426,430.046,188.8414,158.7069,101.862,34.9396,82.4977,47.5581,18.26,17.97,0.29,,,,,,,,0.85,3.79181120235555,,,,,101.862,0.0,
FY2016-17,2017,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,6378.5046,1595.5152,1938.5176,73.9159,1998.9975,1131.1074,183.9917,2843.5015,114.4713,2105.4327,6378.5046,245.5129,136.8297,382.3426,164.8438,148.9356,80.6691,31.4749,68.5632,37.0883,19.45,19.12,0.33,,,,,,,,0.67,2.86052665951412,,11.766162192813901,29.627466766995127,-23.399272716582097,80.66910000000001,-1.4210854715202004e-14,-22.014756687083814
FY2017-18,2018,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,5352.017,1551.2361,1953.3446,62.1921,1107.8446,1131.1074,242.192,2734.167,,1244.5506,5352.017,287.5013,104.8414,392.3427,158.0391,142.6028,129.4622,33.5005,91.7008,58.2003,25.48,25.2,0.28,,,,,,,,0.89,4.32973757424727,,-16.09291933410223,-3.8450656699143604,0.7648628003171121,129.46220000000002,-2.842170943040401e-14,56.92361202859124
FY2018-19,2019,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,7719.1314,3362.9949,2251.265,53.3252,1638.1167,1131.1074,257.3911,4037.3442,154.3058,2138.9829,7719.1314,362.1589,94.9718,457.1307,196.1623,136.4377,165.9966,109.3316,124.5307,15.1991,18.82,18.42,0.4,,99.9674,,,99.9674,,,0.21,1.10066706908569,,44.22845443129199,47.662677517503504,15.251809639732805,165.99660000000003,-2.842170943040401e-14,-73.8848425179939
FY2019-20,2020,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,10348.9629,3561.8873,3265.2472,45.1523,2579.9908,1131.1074,342.0974,4548.4791,834.9737,,10348.9629,415.4478,100.816,516.2638,211.8926,138.6618,203.5552,81.0031,165.7094,84.7063,14.7,13.63,1.07,99.9674,,,74.9674,25.0,,,1.02,5.919991776,,34.069008075183184,12.660176459564676,45.04055275589502,203.55519999999999,2.842170943040401e-14,457.3112881683784
FY2020-21,2021,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,9281.9098,3494.2275,2150.3822,36.6849,1840.1963,2256.2554,467.7539,2127.9584,1880.8156,,9281.9098,379.7287,75.284,455.0127,119.2286,135.6812,260.5001,74.4464,200.1029,125.6565,32.82,31.73,1.09,25.0,,,,25.0,,,1.35,5.988,,-10.310724951965966,-53.216045337000665,-34.1433567418724,260.5001,0.0,48.34374774957706
FY2021-22,2022,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,12520.2721,4809.3699,2706.1462,31.6163,2279.5539,2256.2554,519.9465,4486.6926,964.9622,,12520.2721,368.2251,0.2802,368.5053,107.4274,168.3441,260.7977,40.5412,92.7338,52.1926,26.69,25.43,1.26,25.0,,,,25.0,,,0.51,1.89784,,34.88896541528557,110.84493944994414,25.84489399140302,260.79769999999996,5.684341886080802e-14,-58.46406672157827
FY2022-23,2023,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,17969.5205,7575.621,3169.6553,24.6418,3910.813,2256.2554,609.4625,6062.3114,2684.0912,,17969.5205,652.1996,-32.1544,620.0452,278.4303,141.0666,373.7693,71.8879,200.5483,128.6604,20.11,18.73,1.38,25.0,,25.0,,,,,0.77,4.560873,,43.52340233883574,35.11760088043472,17.12801400013051,373.76930000000004,-5.684341886080802e-14,146.51080804558504
FY2023-24,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,27939.1149,17757.7255,3877.7561,27.8149,4658.739,2542.5927,675.7887,7963.6249,10966.2518,,27939.1149,1243.1979,-72.9377,1170.2602,774.1697,145.7253,469.0282,101.8129,250.3652,148.5523,20.43,19.64,0.79,,,,,,,,0.66,4.883296,,55.48058113181151,31.362847840511797,22.339993878829677,469.02819999999986,1.7053025658242404e-13,15.460778918765982
FY2024-25,2025,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,37754.7644,22801.6942,4323.6731,19.2623,6202.4866,2888.5427,1093.9907,8023.8488,18278.969,,37754.7644,1879.9122,176.1906,2056.1028,1376.6365,196.3093,503.2757,203.7564,483.157,279.4006,17.91,15.81,2.1,,,,,,,,0.87,7.760142,,35.13228509611805,0.7562372758164404,11.499356547978866,503.2756999999999,5.684341886080802e-14,88.08231175148416
